Reaction flux result

Flux : R_EX_o2_e
Objective : R_Biomass_Ecoli_core_w_GAM

Flux	Objective
-10.4	0.572049
-10.35	0.570424
-10.3	0.5688
-10.25	0.567175
-10.2	0.56555
-10.15	0.563925
-10.1	0.5623
-10.05	0.560675
-10.0	0.559051
-9.9	0.555801
-9.95	0.557426
-9.85	0.554176
-9.8	0.552551
-9.75	0.550926
-9.7	0.549302
-9.65	0.547677
-9.6	0.546052
-9.55	0.544427
-9.5	0.542802
-9.45	0.541177
-9.4	0.539553
-9.35	0.537928
-9.3	0.536303
-9.25	0.534678
-9.2	0.533053
-9.15	0.531428
-9.1	0.529804
-9.05	0.528179
-9.0	0.526554
-8.95	0.524929
-8.85	0.521679
-8.9	0.523304
-8.8	0.520055
-8.75	0.51843
-8.7	0.516805
-8.65	0.51518
-8.6	0.513555
-8.55	0.51193
-8.5	0.510306
-8.45	0.508681
-8.4	0.507056
-8.35	0.505431
-8.3	0.503806
-8.25	0.502181
-8.2	0.500557
-8.15	0.498932
-8.05	0.495682
-8.1	0.497307
-8.0	0.494057
-7.95	0.492432
-7.9	0.490808
-7.8	0.487558
-7.85	0.489183
-7.75	0.485933
-7.7	0.484308
-7.65	0.482683
-7.6	0.481059
-7.55	0.479434
-7.5	0.477809
-7.4	0.474559
-7.45	0.476184
-7.35	0.472934
-7.3	0.47131
-7.2	0.46806
-7.25	0.469685
-7.15	0.466435
-7.1	0.46481
-7.05	0.463185
-7.0	0.461561
-6.95	0.459936
-6.9	0.458311
-6.85	0.456686
-6.8	0.455061
-6.75	0.453437
-6.7	0.451812
-6.65	0.450187
-6.6	0.448562
-6.55	0.446937
-6.5	0.445312
-6.45	0.443688
-6.4	0.442044
-6.35	0.440245
-6.3	0.438445
-6.25	0.436645
-6.2	0.434845
-6.15	0.433045
-6.1	0.431245
-6.05	0.429445
-6.0	0.427646
-5.95	0.425846
-5.9	0.424046
-5.85	0.422246
-5.8	0.420446
-5.75	0.418646
-5.65	0.415047
-5.7	0.416846
-5.6	0.413247
-5.55	0.411447
-5.5	0.409647
-5.45	0.407847
-5.4	0.406047
-5.3	0.402448
-5.35	0.404247
-5.25	0.400648
-5.2	0.398848
-5.15	0.397048
-5.1	0.395248
-5.05	0.393448
-5.0	0.391648
-4.95	0.389849
-4.85	0.386249
-4.9	0.388049
-4.8	0.384449
-4.75	0.382649
-4.7	0.380849
-4.6	0.37725
-4.65	0.379049
-4.55	0.37545
-4.5	0.37365
-4.45	0.37185
-4.4	0.37005
-4.35	0.36825
-4.3	0.36645
-4.2	0.362851
-4.25	0.364651
-4.15	0.361051
-4.1	0.359251
-4.05	0.357451
-4.0	0.355651
-3.9	0.352052
-3.95	0.353851
-3.8	0.348452
-3.85	0.350252
-3.75	0.346652
-3.7	0.344852
-3.65	0.343052
-3.6	0.341253
-3.55	0.339453
-3.5	0.337653
-3.45	0.335853
-3.4	0.334053
-3.35	0.332253
-3.25	0.328654
-3.3	0.330453
-3.2	0.326854
-3.15	0.325054
-3.1	0.323254
-3.05	0.321454
-3.0	0.319654
-2.95	0.317854
-2.9	0.316055
-2.85	0.314255
-2.8	0.312455
-2.75	0.310655
-2.7	0.308855
-2.65	0.307055
-2.6	0.305255
-2.55	0.303456
-2.5	0.301656
-2.45	0.299856
-2.4	0.298056
-2.35	0.296256
-2.3	0.294456
-2.25	0.292656
-2.2	0.290857
-2.15	0.289057
-2.1	0.287257
-2.05	0.285457
-2.0	0.283657
-1.95	0.281857
-1.9	0.280057
-1.85	0.278258
-1.8	0.276458
-1.75	0.274658
-1.7	0.272858
-1.65	0.271058
-1.6	0.269258
-1.55	0.267458
-1.5	0.265659
-1.45	0.263859
-1.4	0.262059
-1.35	0.260259
-1.3	0.258459
-1.2	0.254859
-1.25	0.256659
-1.15	0.25306
-1.1	0.25126
-1.05	0.24946
-1.0	0.24766
-0.95	0.24586
-0.9	0.24406
-0.85	0.24226
-0.8	0.240461
-0.75	0.238661
-0.7	0.236861
-0.65	0.235061
-0.6	0.233261
-0.55	0.231461
-0.5	0.229661
-0.45	0.227862
-0.4	0.226062
-0.35	0.224262
-0.3	0.222462
-0.25	0.220662
-0.2	0.218862
-0.15	0.217063
-0.05	0.213463
-0.1	0.215263

Experimental values
