Two reactions fluxes result

Flux1 : Normalized atpYield
Flux2 : Normalized R_Biomass_Ecoli_core_w_GAM
Objective : Normalized sum

Flux1	Flux2	Objective
0.55	0.0	0.51236
0.55	0.05	0.501443
0.55	0.1	0.490526
0.55	0.15	0.47961
0.55	0.2	0.468693
0.55	0.25	0.455116
0.55	0.3	0.441058
0.55	0.35	0.427
0.55	0.4	0.412942
0.55	0.45	0.395564
0.55	0.5	0.355503
0.55	0.55	0.315442
0.55	0.65	0.23532
0.55	0.6	0.275381
0.6	0.0	0.457493
0.6	0.05	0.446577
0.6	0.1	0.43566
0.6	0.15	0.424743
0.6	0.2	0.410983
0.6	0.25	0.396925
0.6	0.3	0.382867
0.6	0.4	0.351641
0.6	0.35	0.368809
0.6	0.45	0.31158
0.6	0.5	0.271519
0.6	0.55	0.231458
0.6	0.6	0.191397
0.65	0.0	0.402627
0.65	0.05	0.391711
0.65	0.1	0.380794
0.65	0.15	0.366849
0.65	0.2	0.352791
0.65	0.25	0.338733
0.65	0.3	0.324675
0.65	0.35	0.307718
0.65	0.4	0.267657
0.65	0.45	0.227596
0.65	0.5	0.187535
0.65	0.55	0.147473
0.65	0.6	0.106251
0.7	0.0	0.347761
0.7	0.05	0.336774
0.7	0.1	0.322716
0.7	0.15	0.308658
0.7	0.25	0.280542
0.7	0.2	0.2946
0.7	0.3	0.263795
0.7	0.35	0.223734
0.7	0.4	0.183673
0.7	0.45	0.143612
0.7	0.5	0.103314
0.7	0.55	0.060468
0.75	0.0	0.29264
0.75	0.05	0.278583
0.75	0.15	0.250467
0.75	0.1	0.264525
0.75	0.2	0.236409
0.75	0.25	0.219872
0.75	0.3	0.179811
0.75	0.35	0.13975
0.75	0.45	0.057531
0.75	0.4	0.099689
0.75	0.5	0.014684
0.8	0.05	0.220391
0.8	0.0	0.234449
0.8	0.15	0.192275
0.8	0.1	0.206333
0.8	0.2	0.175949
0.8	0.25	0.135888
0.8	0.3	0.095827
0.8	0.35	0.054594
0.8	0.4	0.011748
0.85	0.0	0.176258
0.85	0.1	0.148142
0.85	0.05	0.1622
0.85	0.15	0.132026
0.85	0.2	0.091965
0.85	0.25	0.051657
0.85	0.3	0.008811
0.9	0.0	0.118067
0.9	0.05	0.104009
0.9	0.1	0.088103
0.9	0.15	0.048042
0.9	0.2	0.005874
0.95	0.05	0.04418
0.95	0.0	0.059875
0.95	0.1	0.002937

Experimental values
0.677658	0.143106	0.81107
0.688294	0.170723	0.789149
0.680288	0.159844	0.865872
0.696534	0.153149	0.778189
0.729084	0.154823	0.920674
0.667723	0.14478	0.81107
0.709858	0.150638	0.909714
0.692502	0.117163	0.986437
0.691508	0.154823	0.843951
0.708163	0.148128	0.898753
0.645049	0.147291	0.789149
0.670879	0.166539	0.767228
0.718916	0.165702	0.854912
0.702086	0.156496	0.832991
0.65662	0.146454	0.81107
0.650542	0.166539	0.854912
0.66188	0.178255	0.701466
0.676197	0.173234	0.756268
